Name,Powerstate,Template,Config status,DNS Name,Connection state,Guest state,Heartbeat,Consolidation Needed,PowerOn,Suspend time,Change Version,CPU,Memory,RAM,NICs,Disks,Network #1,Network #2,Network #3,Network #4,Num Monitors,Video Ram KB,Resource pool,Folder,vApp,DAS protection,FT State,FT Latency,FT Bandwidth,FT Sec. Latency,Provisioned MB,SpaceGB,In Use MB,Unshared MB,HA Restart Priority,HA Isolation Response,HA VM Monitoring,Cluster rule(s),Cluster rule name(s),Boot Required,Boot delay,Boot retry delay,Boot retry enabled,Boot BIOS setup,Firmware,HW version,HW upgrade status,HW upgrade policy,HW target,Path,Annotation,SRM-com.vmware.vcDr:::protected,VRM Owner,vrmManagedMachine,XtremSW administration,Datacenter,Cluster,Host,OS according to the configuration file,OS,VM ID,VM UUID,VI SDK Server type,VI SDK API Version,VI SDK Server,VI SDK UUID
adc-pci-vcenter,poweredOn,FALSE,green,adc-pci-vcenter.dteco.com,connected,running,green,FALSE,11/9/2018 16:58,,2018-11-09T21:59:45.835042Z,4,"16,384",16,1,13,Mgmt,,,,1,"4,096",/PCI/PCI/Resources,,,TRUE,notConfigured,gray,-1,-1,"344,071",336,"344,071","327,521",medium,none,vmMonitoringOnly,,,FALSE,0,"10,000",FALSE,FALSE,bios,10,none,never,,[00E4E] adc-pci-vcenter/adc-pci-vcenter.vmx,VMware vCenter Server Appliance,,,,,PCI,PCI,vm166ad.dteco.com,Other 3.x or later Linux (64-bit),Other 3.x or later Linux (64-bit),vm-3565,564dfca1-5cc4-2aa3-7b12-f9c6de1f0b8b,VMware vCenter Server 6.0.0 build-9313458,6,dca-pro955,D3DC0D0A-6C54-44A9-90A2-E9E0E2447B7C
AMIW2008-Template,poweredOff,TRUE,green,,connected,notRunning,gray,FALSE,,,2018-02-26T08:57:28.478554Z,2,"8,192",8,1,2,AMI-Prod-vlan30,,,,1,"4,096",,,,,notConfigured,gray,-1,-1,"162,101",158,"25,348","25,346",medium,none,vmMonitoringOnly,,,FALSE,0,"10,000",FALSE,FALSE,bios,8,none,never,,[XIO-ADC-514f0c5c70a00022] AMIW2008-Template/AMIW2008-Template.vmtx,This the AMI collection eng template. - Dennis,,,,,ADC-AMI,ADC-AMI-Prod,vm037ad.dteco.com,Microsoft Windows Server 2008 R2 (64-bit),Microsoft Windows Server 2008 R2 (64-bit),vm-1308,4215409e-3598-e5c6-ea2a-a3ccf9a894db,VMware vCenter Server 6.0.0 build-9313458,6,dca-pro955,D3DC0D0A-6C54-44A9-90A2-E9E0E2447B7C
AMI-Win2012-CE-Template,poweredOff,TRUE,green,dca-tst833-A,connected,notRunning,gray,FALSE,,,2018-07-31T13:21:56.29974Z,2,"8,192",8,1,2,Primary-dmz-vlan40-DEV,,,,1,"4,096",,,,,notConfigured,gray,-1,-1,"162,025",158,"153,600","153,600",medium,none,vmMonitoringOnly,,,FALSE,0,"10,000",FALSE,FALSE,bios,9,none,never,,[XIO2-ADC-514f0c5df3000005] AMI-Win2012-CE-Template/AMI-Win2012-CE-Template.vmtx,,,,,,ADC-AMI,ADC-AMI-NonProd,vm025ad.dteco.com,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2012 (64-bit),vm-1936,423f8ebe-48be-bda3-66b2-b10c5aafbf49,VMware vCenter Server 6.0.0 build-9313458,6,dca-pro955,D3DC0D0A-6C54-44A9-90A2-E9E0E2447B7C
apl-ciscoacs-adc,poweredOn,FALSE,green,dca-acs-adc,connected,running,green,FALSE,9/15/2018 18:44,,2018-09-15T22:44:01.998465Z,1,"4,096",4,1,1,Primary-Legacy,,,,1,"4,096",/ADC/ADC-Linux/Resources,,,TRUE,notConfigured,gray,-1,-1,"516,404",504,"516,404","512,000",medium,none,vmMonitoringDisabled,,,FALSE,0,"10,000",FALSE,FALSE,bios,7,none,never,,[XIO-ADC-514f0c5c70a0005a] apl-ciscoacs-adc/apl-ciscoacs-adc.vmx,Cisco ACS Servers for Network Engineering.,,,,,ADC,ADC-Linux,vm113ad.dteco.com,Other Linux (32-bit),CentOS 4/5/6 (32-bit),vm-499,421edf8a-3799-e28d-941b-759a1fe8687a,VMware vCenter Server 6.0.0 build-9313458,6,dca-pro955,D3DC0D0A-6C54-44A9-90A2-E9E0E2447B7C
big-ip-ve-adc,poweredOn,FALSE,green,big-ip-ve-adc.dteco.com,connected,running,gray,FALSE,9/15/2018 18:26,,2018-09-15T22:24:04.179478Z,2,"4,096",4,4,2,Primary-OTV,Primary-OTV,Primary-OTV,Primary-OTV,1,"4,096",/ADC/ADC-Linux/Resources,,,TRUE,notConfigured,gray,-1,-1,"127,141",124,"5,585","5,420",medium,none,vmMonitoringDisabled,,,FALSE,0,"10,000",FALSE,FALSE,bios,7,none,never,,[XIO-ADC-514f0c5c70a00019] big-ip-ve-adc/big-ip-ve-adc.vmx,BIG-IP Local Traffic Manager Virtual Edition     Copyright 2009-2013 F5 Networks (http://www.f5.com)          For support please visit http://support.f5.com           ,,,,,ADC,ADC-Linux,vm171ad.dteco.com,Other (64-bit),,vm-1212,423f51b9-f7c7-576b-2f9a-3f3538c0e0ac,VMware vCenter Server 6.0.0 build-9313458,6,dca-pro955,D3DC0D0A-6C54-44A9-90A2-E9E0E2447B7C
big-ip-ve-adc_11.3,poweredOff,FALSE,green,big-ip-ve-adc.dteco.com,connected,notRunning,gray,FALSE,,,2018-09-14T20:41:39.283676Z,1,"2,048",2,4,1,Primary-OTV,Primary-OTV,Primary-OTV,Primary-OTV,1,"4,096",/ADC/ADC-Linux/Resources,,,,notConfigured,gray,-1,-1,"20,642",20,"18,432","18,432",medium,none,vmMonitoringDisabled,,,FALSE,0,"10,000",FALSE,FALSE,bios,7,none,never,,[XIO-ADC-514f0c5c70a00018] big-ip-ve-adc_11.3/big-ip-ve-adc_11.3.vmx,BIG-IP Local Traffic Manager Virtual Edition Copyright 2009-2012 F5 Networks (http://www.f5.com)  For support please visit http://support.f5.com       ,,,,,ADC,ADC-Linux,vm113ad.dteco.com,Other (64-bit),,vm-1211,423fb94e-c1b3-6ae8-30cd-6e78a1586bae,VMware vCenter Server 6.0.0 build-9313458,6,dca-pro955,D3DC0D0A-6C54-44A9-90A2-E9E0E2447B7C
big-iq-adc,poweredOn,FALSE,green,big-iq-adc.dteco.com,connected,running,green,FALSE,11/13/2018 0:07,,2018-11-13T05:07:40.017783Z,4,"16,384",16,3,1,Primary-OTV,Primary-OTV,Primary-OTV,,1,"4,096",/ADC/ADC-Linux/Resources,,,TRUE,notConfigured,gray,-1,-1,"97,447",95,"97,447","97,280",medium,none,vmMonitoringDisabled,,,FALSE,0,"10,000",FALSE,FALSE,bios,7,none,never,,[XIO-ADC-514f0c5c70a0002b] big-iq-adc/big-iq-adc.vmx,BIG-IQ Virtual Edition     Copyright 2009-2015 F5 Networks (http://www.f5.com)          For support please visit http://support.f5.com           ,,,,,ADC,ADC-Linux,vm117ad.dteco.com,Other (64-bit),,vm-1910,423f59cb-a880-80d9-7e92-0689c3dd9761,VMware vCenter Server 6.0.0 build-9313458,6,dca-pro955,D3DC0D0A-6C54-44A9-90A2-E9E0E2447B7C
bmr_test,poweredOff,FALSE,green,dca-tst950.dtenet.com,connected,notRunning,gray,FALSE,,,2018-09-14T20:34:07.310232Z,1,"4,096",4,1,1,Primary-OTV,,,,1,"4,096",/ADC/ADC-Windows/Resources/PoweredOff,,,,notConfigured,gray,-1,-1,"61,742",60,"33,855","32,691",medium,none,vmMonitoringDisabled,,,FALSE,0,"10,000",FALSE,FALSE,bios,9,none,never,,[SRM-00396-0022B] bmr_test/bmr_test.vmx,,,,,,ADC,ADC-Windows,vm109ad.dteco.com,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2012 (64-bit),vm-2365,4228759f-3009-e6da-f0c9-1745eb3d5961,VMware vCenter Server 6.0.0 build-9313458,6,dca-pro955,D3DC0D0A-6C54-44A9-90A2-E9E0E2447B7C
dca-acc1002,poweredOn,FALSE,green,DCA-ACC1002.dtenet.com,connected,running,green,FALSE,11/14/2018 5:20,,2018-11-14T10:20:36.266771Z,2,"8,192",8,2,2,Primary-OTV,Backup,,,1,"8,192",/ADC/ADC-Windows/Resources/Non-Production,,,TRUE,notConfigured,gray,-1,-1,"80,058",78,"80,058","71,680",medium,none,vmMonitoringDisabled,,,FALSE,0,"10,000",FALSE,FALSE,bios,9,none,never,,[XIO-ADC-514f0c5c70a0001f] dca-acc1002/dca-acc1002.vmx,,,,,,ADC,ADC-Windows,vm133ad.dteco.com,Microsoft Windows Server 2008 R2 (64-bit),Microsoft Windows Server 2008 R2 (64-bit),vm-664,423f1a08-4d62-b9f9-ebfb-c8a12bc78ed9,VMware vCenter Server 6.0.0 build-9313458,6,dca-pro955,D3DC0D0A-6C54-44A9-90A2-E9E0E2447B7C
dca-acc1047,poweredOn,FALSE,green,DCA-ACC1047.dtenet.com,connected,running,green,FALSE,9/17/2018 11:02,,2018-09-17T15:02:05.420032Z,2,"6,144",6,2,6,Primary-OTV,Backup,,,1,"8,192",/ADC/ADC-MSSQL/Resources/Non-Production,,,TRUE,notConfigured,gray,-1,-1,"549,060",536,"549,060","542,720",medium,none,vmMonitoringOnly,,,FALSE,0,"10,000",FALSE,FALSE,bios,9,none,never,,[XIO-ADC-514f0c5c70a0001d] dca-acc1047/dca-acc1047.vmx,,,,,,ADC,ADC-MSSQL,vm098ad.dteco.com,Microsoft Windows Server 2008 R2 (64-bit),Microsoft Windows Server 2008 R2 (64-bit),vm-855,423ff6b7-f917-9a0a-d7c4-de8dce0982d4,VMware vCenter Server 6.0.0 build-9313458,6,dca-pro955,D3DC0D0A-6C54-44A9-90A2-E9E0E2447B7C
